alarm_id,incident_description,network_region,technology_type,severity,outage_duration,device_vendor,resolution_notes,timestamp,service_impact
ALM_000001,Microwave network in South India experiencing high severity incident: Antenna misalignment. Service affected: SMS delivery delays. Device vendor: Nokia.,South India,Microwave,high,109,Nokia,"Incident resolved by performing: Review recent configuration changes, Verify power supply specifications, Validate antenna alignment, Power cycle base station. Root cause verified and preventive measures implemented.",2023-11-24 03:01:00,SMS delivery delays
ALM_000002,4G network in Central India experiencing info severity incident: Gateway processor failure. Service affected: M2M connectivity loss. Device vendor: Ericsson.,Central India,4G,info,7,Ericsson,"Incident resolved by performing: Check spectrum analyzer readings, Clear processor memory cache. Root cause verified and preventive measures implemented.",2023-01-16 02:13:00,M2M connectivity loss
ALM_000003,GSM network in East India experiencing high severity incident: Unknown cause. Service affected: Roaming service unavailable. Device vendor: Nokia.,East India,GSM,high,112,Nokia,"Incident resolved by performing: Verify power supply specifications, Validate antenna alignment. Root cause verified and preventive measures implemented.",2023-01-04 05:44:00,Roaming service unavailable
ALM_000004,LTE network in North India experiencing low severity incident: Unknown cause. Service affected: SMS delivery delays. Device vendor: Samsung.,North India,LTE,low,18,Samsung,"Incident resolved by performing: Verify power supply specifications, Review recent configuration changes, Clear processor memory cache. Root cause verified and preventive measures implemented.",2023-02-19 11:54:00,SMS delivery delays
ALM_000005,LTE network in North India experiencing high severity incident: Unknown cause. Service affected: Emergency call drops. Device vendor: Ericsson.,North India,LTE,high,113,Ericsson,"Incident resolved by performing: Inspect optical fiber continuity, Verify power supply specifications. Root cause verified and preventive measures implemented.",2023-11-18 19:56:00,Emergency call drops
ALM_000006,Microwave network in South India experiencing medium severity incident: Antenna misalignment. Service affected: Emergency call drops. Device vendor: Huawei.,South India,Microwave,medium,18,Huawei,"Incident resolved by performing: Verify power supply specifications, Check RF parameters configuration, Inspect optical fiber continuity, Perform traffic engineering reroute. Root cause verified and preventive measures implemented.",2023-07-14 08:29:00,Emergency call drops
ALM_000007,Microwave network in Central India experiencing medium severity incident: Modulation quality degradation. Service affected: Voice call failures. Device vendor: Nokia.,Central India,Microwave,medium,58,Nokia,"Incident resolved by performing: Power cycle base station, Reboot network controller. Root cause verified and preventive measures implemented.",2023-08-25 12:17:00,Voice call failures
ALM_000008,4G network in East India experiencing low severity incident: Gateway processor failure. Service affected: IoT data transmission failures. Device vendor: Nokia.,East India,4G,low,13,Nokia,"Incident resolved by performing: Clear processor memory cache, Check RF parameters configuration. Root cause verified and preventive measures implemented.",2023-07-25 08:04:00,IoT data transmission failures
ALM_000009,Fiber network in Central India experiencing info severity incident: OTDR reading anomaly. Service affected: Roaming service unavailable. Device vendor: Cisco.,Central India,Fiber,info,13,Cisco,"Incident resolved by performing: Check RF parameters configuration, Review recent configuration changes. Root cause verified and preventive measures implemented.",2023-05-07 23:35:00,Roaming service unavailable
ALM_000010,5G network in South India experiencing high severity incident: Radio frequency interference in millimeter wave bands. Service affected: M2M connectivity loss. Device vendor: Samsung.,South India,5G,high,116,Samsung,"Incident resolved by performing: Verify power supply specifications, Validate antenna alignment, Review recent configuration changes, Clear processor memory cache. Root cause verified and preventive measures implemented.",2023-09-10 02:48:00,M2M connectivity loss
ALM_000011,Fiber network in North India experiencing info severity incident: Fiber cut due to construction. Service affected: Emergency call drops. Device vendor: Samsung.,North India,Fiber,info,25,Samsung,"Incident resolved by performing: Reboot network controller, Verify power supply specifications, Clear processor memory cache, Inspect optical fiber continuity. Root cause verified and preventive measures implemented.",2023-08-28 16:16:00,Emergency call drops
ALM_000012,Microwave network in East India experiencing high severity incident: Modulation quality degradation. Service affected: SMS delivery delays. Device vendor: Juniper.,East India,Microwave,high,79,Juniper,"Incident resolved by performing: Clear processor memory cache, Review recent configuration changes, Inspect optical fiber continuity, Verify power supply specifications. Root cause verified and preventive measures implemented.",2023-03-22 14:00:00,SMS delivery delays
ALM_000013,Fiber network in Central India experiencing low severity incident: Fiber cut due to construction. Service affected: SMS delivery delays. Device vendor: Huawei.,Central India,Fiber,low,1,Huawei,"Incident resolved by performing: Clear processor memory cache, Inspect optical fiber continuity, Power cycle base station. Root cause verified and preventive measures implemented.",2023-07-11 05:34:00,SMS delivery delays
ALM_000014,5G network in West India experiencing info severity incident: CSP network slice misconfiguration. Service affected: Data session timeouts. Device vendor: Ericsson.,West India,5G,info,25,Ericsson,"Incident resolved by performing: Check spectrum analyzer readings, Review recent configuration changes. Root cause verified and preventive measures implemented.",2023-05-04 18:05:00,Data session timeouts
ALM_000015,Fiber network in South India experiencing high severity incident: Splice point failure. Service affected: Emergency call drops. Device vendor: Juniper.,South India,Fiber,high,106,Juniper,"Incident resolved by performing: Reboot network controller, Check spectrum analyzer readings, Review recent configuration changes. Root cause verified and preventive measures implemented.",2023-03-26 08:33:00,Emergency call drops
ALM_000016,5G network in North India experiencing info severity incident: Software bug in RAN controller. Service affected: Video streaming buffering. Device vendor: Juniper.,North India,5G,info,8,Juniper,"Incident resolved by performing: Verify power supply specifications, Power cycle base station. Root cause verified and preventive measures implemented.",2023-03-03 07:14:00,Video streaming buffering
ALM_000017,5G network in North India experiencing high severity incident: Software bug in RAN controller. Service affected: IoT data transmission failures. Device vendor: Juniper.,North India,5G,high,50,Juniper,"Incident resolved by performing: Review recent configuration changes, Check RF parameters configuration. Root cause verified and preventive measures implemented.",2023-04-28 02:57:00,IoT data transmission failures
ALM_000018,4G network in West India experiencing critical severity incident: DNS resolution timeout. Service affected: M2M connectivity loss. Device vendor: Nokia.,West India,4G,critical,54,Nokia,"Incident resolved by performing: Validate antenna alignment, Perform traffic engineering reroute, Check spectrum analyzer readings. Root cause verified and preventive measures implemented.",2023-10-20 18:30:00,M2M connectivity loss
ALM_000019,Microwave network in North India experiencing medium severity incident: Path obstruction from weather. Service affected: SMS delivery delays. Device vendor: Cisco.,North India,Microwave,medium,56,Cisco,"Incident resolved by performing: Inspect optical fiber continuity, Perform traffic engineering reroute. Root cause verified and preventive measures implemented.",2023-01-28 21:41:00,SMS delivery delays
ALM_000020,GSM network in East India experiencing high severity incident: Unknown cause. Service affected: IoT data transmission failures. Device vendor: Cisco.,East India,GSM,high,24,Cisco,"Incident resolved by performing: Verify power supply specifications, Power cycle base station, Review recent configuration changes, Check spectrum analyzer readings. Root cause verified and preventive measures implemented.",2023-10-02 14:08:00,IoT data transmission failures
ALM_000021,GSM network in South India experiencing critical severity incident: Unknown cause. Service affected: M2M connectivity loss. Device vendor: Cisco.,South India,GSM,critical,72,Cisco,"Incident resolved by performing: Validate antenna alignment, Clear processor memory cache. Root cause verified and preventive measures implemented.",2023-05-02 05:26:00,M2M connectivity loss
ALM_000022,Microwave network in Central India experiencing low severity incident: Modulation quality degradation. Service affected: Video streaming buffering. Device vendor: Samsung.,Central India,Microwave,low,5,Samsung,"Incident resolved by performing: Inspect optical fiber continuity, Power cycle base station, Review recent configuration changes. Root cause verified and preventive measures implemented.",2023-08-21 09:27:00,Video streaming buffering
