alarm_id,incident_description,network_region,technology_type,severity,outage_duration,device_vendor,resolution_notes,timestamp,service_impact
A100000,Increased call drops after configuration update,Hyderabad,4G,Low,75,Ericsson,Rolled back configuration and monitored KPIs,2025-01-01 00:00:00,16549 users affected
A100001,DNS resolution issues impacting services,Bangalore,5G,Low,113,Nokia,Updated DNS configuration and cache,2025-01-01 00:15:00,2582 users affected
A100002,Multiple BTS synchronization failures,Hyderabad,IMS,Medium,11,Cisco,Reconfigured timing source and synchronization settings,2025-01-01 00:30:00,37281 users affected
A100003,Multiple BTS synchronization failures,Mumbai,Core Network,Medium,76,Huawei,Reconfigured timing source and synchronization settings,2025-01-01 00:45:00,925 users affected
A100004,Packet gateway overload during peak traffic,Chennai,5G,Low,200,Cisco,Added capacity and balanced traffic,2025-01-01 01:00:00,22559 users affected
A100005,Increased call drops after configuration update,Delhi,5G,Medium,93,Cisco,Rolled back configuration and monitored KPIs,2025-01-01 01:15:00,40065 users affected
A100006,DNS resolution issues impacting services,Jaipur,Fiber,Low,101,Juniper,Updated DNS configuration and cache,2025-01-01 01:30:00,5664 users affected
A100007,Radio link failures across sectors,Bangalore,4G,High,185,Huawei,Replaced faulty radio module,2025-01-01 01:45:00,5058 users affected
A100008,Increased call drops after configuration update,Kolkata,Fiber,Critical,226,Cisco,Rolled back configuration and monitored KPIs,2025-01-01 02:00:00,7119 users affected
A100009,Radio link failures across sectors,Delhi,5G,Low,95,Juniper,Replaced faulty radio module,2025-01-01 02:15:00,14230 users affected
A100010,Fiber latency spike between backbone nodes,Ahmedabad,Core Network,Medium,67,Huawei,Re-routed traffic through alternate path,2025-01-01 02:30:00,11208 users affected
A100011,DNS resolution issues impacting services,Hyderabad,5G,Medium,88,Huawei,Updated DNS configuration and cache,2025-01-01 02:45:00,4165 users affected
A100012,Core authentication service failures,Pune,4G,Medium,59,Cisco,Restarted authentication cluster,2025-01-01 03:00:00,37670 users affected
A100013,Core authentication service failures,Mumbai,Fiber,Critical,169,Nokia,Restarted authentication cluster,2025-01-01 03:15:00,30571 users affected
A100014,Multiple BTS synchronization failures,Kochi,Core Network,High,142,Juniper,Reconfigured timing source and synchronization settings,2025-01-01 03:30:00,17719 users affected
A100015,Core authentication service failures,Ahmedabad,5G,Medium,40,Ericsson,Restarted authentication cluster,2025-01-01 03:45:00,33892 users affected
A100016,Increased call drops after configuration update,Kolkata,IMS,Low,45,Ericsson,Rolled back configuration and monitored KPIs,2025-01-01 04:00:00,45096 users affected
A100017,Core authentication service failures,Delhi,IMS,Medium,124,Ericsson,Restarted authentication cluster,2025-01-01 04:15:00,35176 users affected
A100018,Increased call drops after configuration update,Delhi,Fiber,High,142,Ericsson,Rolled back configuration and monitored KPIs,2025-01-01 04:30:00,49709 users affected
A100019,Packet gateway overload during peak traffic,Delhi,IMS,Medium,121,Nokia,Added capacity and balanced traffic,2025-01-01 04:45:00,712 users affected
A100020,DNS resolution issues impacting services,Delhi,IMS,Critical,227,Juniper,Updated DNS configuration and cache,2025-01-01 05:00:00,41479 users affected
A100021,Multiple BTS synchronization failures,Jaipur,IMS,Low,200,Ericsson,Reconfigured timing source and synchronization settings,2025-01-01 05:15:00,11087 users affected
A100022,Intermittent voice service degradation,Pune,Fiber,Medium,9,Nokia,Adjusted radio and QoS parameters,2025-01-01 05:30:00,7831 users affected
A100023,5G users unable to establish data sessions,Chennai,Core Network,Medium,150,Ericsson,Restarted packet gateway and validated connectivity,2025-01-01 05:45:00,5661 users affected
A100024,DNS resolution issues impacting services,Ahmedabad,IMS,High,37,Nokia,Updated DNS configuration and cache,2025-01-01 06:00:00,43737 users affected
A100025,Packet gateway overload during peak traffic,Hyderabad,IMS,Medium,160,Nokia,Added capacity and balanced traffic,2025-01-01 06:15:00,28230 users affected
A100026,Packet gateway overload during peak traffic,Pune,Core Network,Medium,176,Juniper,Added capacity and balanced traffic,2025-01-01 06:30:00,43090 users affected
A100027,Backhaul congestion detected,Pune,5G,Low,62,Juniper,Applied traffic engineering optimization,2025-01-01 06:45:00,4696 users affected
A100028,DNS resolution issues impacting services,Chennai,5G,Medium,61,Nokia,Updated DNS configuration and cache,2025-01-01 07:00:00,971 users affected
A100029,Increased call drops after configuration update,Chennai,IMS,Critical,225,Nokia,Rolled back configuration and monitored KPIs,2025-01-01 07:15:00,22154 users affected
A100030,Packet gateway overload during peak traffic,Mumbai,IMS,High,59,Juniper,Added capacity and balanced traffic,2025-01-01 07:30:00,35839 users affected
A100031,Backhaul congestion detected,Hyderabad,5G,Medium,126,Ericsson,Applied traffic engineering optimization,2025-01-01 07:45:00,27177 users affected
A100032,Core authentication service failures,Bangalore,5G,Medium,110,Ericsson,Restarted authentication cluster,2025-01-01 08:00:00,31106 users affected
A100033,Core authentication service failures,Hyderabad,4G,High,209,Nokia,Restarted authentication cluster,2025-01-01 08:15:00,7661 users affected
A100034,DNS resolution issues impacting services,Delhi,Core Network,Medium,113,Nokia,Updated DNS configuration and cache,2025-01-01 08:30:00,12525 users affected
A100035,Increased call drops after configuration update,Chennai,5G,Medium,225,Juniper,Rolled back configuration and monitored KPIs,2025-01-01 08:45:00,36566 users affected
A100036,5G users unable to establish data sessions,Mumbai,Core Network,Critical,197,Cisco,Restarted packet gateway and validated connectivity,2025-01-01 09:00:00,15991 users affected
A100037,Backhaul congestion detected,Mumbai,Core Network,Medium,107,Ericsson,Applied traffic engineering optimization,2025-01-01 09:15:00,4342 users affected
A100038,Core authentication service failures,Delhi,Core Network,Medium,205,Juniper,Restarted authentication cluster,2025-01-01 09:30:00,30319 users affected
A100039,Backhaul congestion detected,Bangalore,IMS,Low,80,Juniper,Applied traffic engineering optimization,2025-01-01 09:45:00,14767 users affected
